Date;Iterations;Records;Alpha;Beta;Eta;Input;Hidden;Output;TP;TN;FP;FN;Accuracy
2015-01-22 21:06:51;10;1640;0.000;0.700;0.040;3;7 5;1;31.600;92.000;39.200;1.200;0.754;
2015-01-22 21:21:47;10;1640;0.000;0.700;0.040;3;7 5;1;30.800;91.500;41.000;0.700;0.746;
2015-01-22 21:24:07;10;1640;0.000;0.700;0.040;3;7 5;1;33.300;88.400;42.300;0.000;0.742;
2015-01-22 21:26:31;10;1640;0.000;0.700;0.040;3;7 5;1;32.500;89.500;42.000;0.000;0.744;
2015-01-22 21:27:28;10;1640;0.000;0.700;0.200;3;5;1;32.400;91.300;40.300;0.000;0.754;
2015-01-22 21:28:15;10;1640;0.000;0.700;0.200;3;5;1;32.500;92.100;39.400;0.000;0.760;
2015-01-24 21:04:19;10;1640;0.000;0.700;0.200;3;5;1;32.400;92.600;39.000;0.000;0.762;
2015-01-24 21:08:44;10;1960;0.000;0.700;0.200;3;5;1;64.900;109.000;22.100;0.000;0.887;
2015-01-24 21:09:40;10;1960;0.000;0.700;0.200;3;5;1;64.700;108.400;22.900;0.000;0.883;
2015-01-24 21:11:33;10;1960;0.000;0.400;0.400;3;5;1;64.700;109.300;22.000;0.000;0.888;
2015-01-24 21:12:46;10;1960;0.000;1.600;0.400;3;5;1;64.900;107.600;23.500;0.000;0.880;
2015-01-24 21:13:15;10;1960;0.000;1.600;0.400;3;8;1;64.700;107.300;24.000;0.000;0.878;
2015-01-24 21:14:24;10;1960;0.000;1.600;0.600;3;6;1;0.000;131.300;0.000;64.700;0.670;
2015-01-24 21:15:13;10;1960;0.000;1.600;0.080;3;6;1;64.700;108.900;22.400;0.000;0.886;
2015-01-24 21:15:50;10;1960;0.000;2.000;0.080;3;6;1;65.000;108.800;22.200;0.000;0.887;
2015-01-24 21:17:33;20;1960;0.000;2.000;0.080;3;6;1;32.350;54.850;10.800;0.000;0.890;
2015-01-24 21:19:08;20;2280;0.000;1.200;0.080;3;6;1;48.500;58.850;6.650;0.000;0.942;
2015-01-24 21:20:08;10;2290;0.000;1.200;0.080;3;6 4;1;97.500;117.900;13.600;0.000;0.941;
2015-01-24 21:20:43;10;2290;0.000;1.200;0.080;3;6 4;1;0.000;131.600;0.000;97.400;0.575;
2015-01-24 21:21:15;10;2290;0.000;1.200;0.080;3;4;1;97.500;118.000;13.500;0.000;0.941;
2015-01-24 21:22:17;10;2570;0.000;1.200;0.080;3;4;1;125.600;122.700;8.700;0.000;0.966;
2015-01-24 21:23:13;10;2570;0.000;0.700;0.080;3;4;1;125.500;122.500;9.000;0.000;0.965;
2015-01-24 21:27:23;10;2570;0.000;0.700;0.080;3;6;1;125.600;122.800;8.600;0.000;0.967;
2015-01-24 21:28:13;10;2570;0.000;0.700;0.080;3;6;1;0.000;131.200;0.000;125.800;0.511;
2015-01-24 21:30:04;10;1640;0.000;0.700;0.080;3;6;1;31.200;95.300;36.200;1.300;0.771;
2015-01-24 21:30:39;10;1640;0.000;0.700;0.080;3;6;1;31.600;97.100;34.400;0.900;0.785;
2015-01-24 21:33:48;10;1640;0.000;0.700;0.080;3;6;1;31.600;97.100;34.400;0.900;0.785;
2015-01-24 21:34:31;10;1640;0.300;0.700;0.080;3;6;1;31.600;97.200;34.300;0.900;0.785;
2015-01-24 21:36:07;10;2570;0.300;0.700;0.080;3;6;1;125.700;122.400;8.900;0.000;0.965;
2015-01-24 21:36:46;10;2570;0.700;0.700;0.080;3;6;1;125.700;122.600;8.700;0.000;0.966;
2015-01-24 21:37:18;10;2570;0.700;0.700;0.080;3;6;1;125.600;122.200;9.200;0.000;0.964;
2015-01-24 21:50:11;10;2570;0.700;0.700;0.080;3;6;1;125.800;131.000;0.200;0.000;0.999;
2015-01-24 21:52:11;10;1640;0.700;0.700;0.080;3;6;1;3.100;128.200;3.300;29.400;0.801;
2015-01-24 21:55:31;10;1640;0.700;0.700;0.080;3;6;1;28.400;107.900;23.600;4.100;0.831;
2015-01-24 21:57:08;10;1640;0.700;0.700;0.080;3;6;1;27.300;107.200;24.300;5.200;0.820;
2015-01-24 21:57:54;10;1640;0.700;0.700;0.080;3;6;1;32.500;131.000;0.500;0.000;0.997;
